X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
"-7,397,182,708,203","4,077,483,009,913",11D-AM-1010-06,11D,AM,10102018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.97182708203471 40.7748300991287)
"-7,396,981,966,712","4,078,029,720,015",18C-PM-1018-03,18C,PM,10182018,3,Juvenile,Gray,,Gray+,,Above Ground,1,,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9698196671161 40.7802972001469)
"-7,395,302,635,525","4,079,209,497,884",36I-PM-1007-05,36I,PM,10072018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9530263552489 40.7920949788358)
"-7,398,082,020,885","4,076,829,218,423",1A-PM-1014-02,01A,PM,10142018,2,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,6,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9808202088503 40.7682921842325)
"-7,395,222,916,034","4,079,769,853,858",42G-PM-1014-01,42G,PM,10142018,1,Adult,Gray,White,Gray+White,,Above Ground,8,,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9522291603405 40.7976985385835)
"-7,396,857,515,955","4,077,094,135,679",9I-PM-1010-07,09I,PM,10102018,7,Adult,Gray,White,Gray+White,,Above Ground,1,ran up tree,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9685751595485 40.7709413567859)
"-7,397,215,923,784","4,077,603,458,357",12C-AM-1013-02,12C,AM,10132018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9721592378418 40.776034583573)
"-7,395,409,085,131","4,079,420,122,505",37G-PM-1007-04,37G,PM,10072018,4,,Cinnamon,Gray,Cinnamon+Gray,gray tail,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9540908513075 40.794201225045)
"-7,395,739,300,799","4,079,345,702,945",35E-AM-1020-03,35E,AM,10202018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9573930079918 40.7934570294469)
"-7,397,175,802,287","4,077,157,261,594",8F-PM-1012-01,08F,PM,10122018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.97175802286641 40.7715726159383)
"-7,397,572,498,341","4,076,970,326,068",5D-PM-1018-05,05D,PM,10182018,5,Juvenile,Gray,,Gray+,,Above Ground,3,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9757249834141 40.7697032606755)
"-7,395,477,117,968","407,908,540,752",34I-PM-1010-06,34I,PM,10102018,6,Adult,Gray,,Gray+,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,POINT (-73.9547711796823 40.7908540751983)
"-7,395,896,759,955","4,079,131,192,236",33E-AM-1014-09,33E,AM,10142018,9,Juvenile,Black,,Black+,,Above Ground,15,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9589675995517 40.7913119223584)
"-7,396,987,620,231","4,077,820,556,881",16D-PM-1010-09,16D,PM,10102018,9,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9698762023146 40.77820556881131)
"-7,396,715,495,661","4,077,513,428,707",14H-AM-1007-01,14H,AM,10072018,1,Adult,Gray,,Gray+,,Above Ground,180,top of tree,TRUE,FALSE,FALSE,FALSE,FALSE,jumping between branches,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9671549566066 40.7751342870705)
"-7,396,793,990,974","40,774,281,315",13H-PM-1010-09,13H,PM,10102018,9,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.96793990973822 40.7742813149957)
"-7,396,294,201,136","4,078,913,307,272",29C-AM-1007-03,29C,AM,10072018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9629420113622 40.789133072717)
"-7,396,884,668,746","4,077,379,115,599",12G-PM-1007-05,12G,PM,10072018,5,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9688466874605 40.7737911559867)
"-7,396,424,119,904","4,077,796,927,772",18H-PM-1014-03,18H,PM,10142018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9642411990432 40.7779692777193)
"-7,396,532,790,699","4,077,587,431,138",15I-AM-1008-02,15I,AM,10082018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,Could be same squirrel as #1?,Above Ground,4,on fence,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9653279069888 40.7758743113817)
"-7,395,569,372,183","4,079,909,280,624",42C-AM-1007-04,42C,AM,10072018,4,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",young adult,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,walking,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9556937218252 40.7990928062435)
"-7,395,588,090,646","4,079,527,650,222",38E-PM-1014-03,38E,PM,10142018,3,,Gray,,Gray+,,Ground Plane,FALSE,THICK UNDERGROWTH,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9558809064648 40.7952765022241)
"-7,395,797,689,614","4,079,702,712,824",39C-AM-1017-04,39C,AM,10172018,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.957976896139 40.797027128241005)
"-7,397,698,874,739","4,077,075,615,329",5C-PM-1010-04,05C,PM,10102018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.97698874738522 40.7707561532949)
"-7,396,559,053,009","407,752,614,638",14I-PM-1018-06,14I,PM,10182018,6,Adult,Cinnamon,Black,Cinnamon+Black,,Above Ground,2,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9655905300923 40.7752614638023)
"-7,395,888,860,838","4,079,099,917,334",32E-PM-1017-01,32E,PM,10172018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9588886083793 40.7909991733435)
"-7,397,548,367,967","4,077,388,795,454",9B-PM-1013-01,09B,PM,10132018,1,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9754836796706 40.7738879545412)
"-7,396,629,396,307","407,878,502,338",26B-AM-1010-01,26B,AM,10102018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,running across bridle path,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9662939630722 40.7878502338031)
"-7,396,130,519,573","4,079,093,513,935",31D-AM-1014-02,31D,AM,10142018,2,Juvenile,Gray,White,Gray+White,,Ground Plane,FALSE,Undergrowth,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9613051957306 40.7909351393505)
"-7,397,642,353,733","4,077,060,651,399",5C-PM-1010-11,05C,PM,10102018,11,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.97642353733221 40.770606513989)
"-7,397,050,538,216","4,077,875,032,202",16C-AM-1014-04,16C,AM,10142018,4,Adult,Gray,Black,Gray+Black,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9705053821577 40.7787503220242)
"-7,397,637,911,214","4,077,028,151,225",5D-PM-1018-04,05D,PM,10182018,4,Adult,Gray,White,Gray+White,Partial missing tail,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,chasing (dog chasing),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9763791121438 40.770281512254)
"-7,396,001,657,855","4,079,524,667,618",36B-PM-1013-03,36B,PM,10132018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9600165785486 40.7952466761832)
"-7,395,737,241,333","4,079,800,809,111",40C-AM-1017-02,40C,AM,10172018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,chasing (#1),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9573724133264 40.7980080911115)
"-7,395,801,093,571","4,078,556,544,054",28I-AM-1013-01,28I,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Jumped onto path & then back into brush,FALSE,FALSE,FALSE,FALSE,FALSE,stood on fence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9580109357087 40.7855654405447)
"-7,395,488,778,301","4,079,501,574,891",38F-AM-1018-04,38F,AM,10182018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.95488778301362 40.7950157489103)
"-739,767,314,435","4,076,611,998,894",1F-AM-1010-01,01F,AM,10102018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9767314435027 40.7661199889431)
"-7,396,732,436,999","4,078,753,929,577",26A-AM-1014-01,26A,AM,10142018,1,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,could not get close due to fences,POINT (-73.9673243699918 40.7875392957722)
"-739,596,375,907","4,079,073,477,084",32E-AM-1007-05,32E,AM,10072018,5,Adult,Black,,Black+,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9596375907038 40.79073477083531)
"-7,396,732,355,553","4,077,867,495,968",17F-PM-1020-04,17F,PM,10202018,4,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9673235555321 40.7786749596774)
"-7,397,575,361,873","4,077,551,198,107",11A-PM-1013-03,11A,PM,10132018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9757536187319 40.7755119810678)
"-7,396,750,474,803","4,077,892,343,972",17E-AM-1017-01,17E,AM,10172018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,Pond area,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9675047480308 40.7789234397249)
"-739,562,765,288","4,078,806,179,639",31I-PM-1019-02,31I,PM,10192018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9562765288004 40.7880617963868)
"-7,395,585,895,296","4,078,924,003,949",32H-PM-1006-02,32H,PM,10062018,2,,Gray,,Gray+,,Above Ground,8,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9558589529608 40.7892400394941)
"-7,397,855,365,291","407,716,184,505",6A-PM-1012-07,06A,PM,10122018,7,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,elevated ground,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9785536529136 40.771618450500206)
"-7,397,190,362,174","4,078,035,881,224",17A-AM-1017-01,17A,AM,10172018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,3,ground & tree,TRUE,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9719036217446 40.7803588122409)
"-7,395,683,822,792","407,975,685,471",40C-AM-1017-07,40C,AM,10172018,7,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,digging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9568382279233 40.7975685470963)
"-7,397,673,020,674","4,077,370,921,391",8A-PM-1014-01,08A,PM,10142018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,runs from (goes up a tree),POINT (-73.976730206737 40.773709213914)
"-73,972,212,563","4,077,613,114,659",13C-PM-1019-05,13C,PM,10192018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,POINT (-73.972212563004 40.7761311465857)
